Year,Month,Energy Requirement,Energy Supplied,Energy not Supplied,Energy not Supplied %,Peak Demand,Peak Met,Demand not Met,Demand not Met %,Date
2020,1,105548,105158,390,0.4,171592,170976,616,0.4,2020-01-01
2020,2,104375,103815,560,0.5,179098,176388,2711,1.5,2020-02-01
2020,3,99382,98952,430,0.4,170749,170165,584,0.3,2020-03-01
2020,4,85030,84550,480,0.6,133200,132733,467,0.4,2020-04-01
2020,5,102651,102089,562,0.5,166890,166225,664,0.4,2020-05-01
2020,6,105556,105086,471,0.4,166686,164982,1705,1.0,2020-06-01
2020,7,112341,112147,194,0.2,171510,170408,1101,0.6,2020-07-01
2020,8,109474,109217,257,0.2,169127,167528,1599,0.9,2020-08-01
2020,9,112407,112241,166,0.1,177019,176413,605,0.3,2020-09-01
2020,10,109300,109174,127,0.1,170556,169899,657,0.0,2020-10-01
2020,11,97374,96883,492,0.5,161398,160779,619,0.4,2020-11-01
2020,12,106093,105623,470,0.4,183548,182784,765,0.4,2020-12-01
2021,1,110329,109767,561,0.5,190198,189395,802,0.4,2021-01-01
2021,2,103772,103252,520,0.5,189913,187970,1943,1.0,2021-02-01
2021,3,121205,120635,571,0.5,186389,185892,497,0.3,2021-03-01
2021,4,117496,117080,417,0.4,183037,182379,657,0.4,2021-04-01
2021,5,109085,108809,276,0.3,169132,168781,351,0.2,2021-05-01
2021,6,114837,114483,353,0.3,193996,191243,2754,1.4,2021-06-01
2021,7,124167,123720,447,0.4,203014,200539,2475,1.2,2021-07-01
2021,8,128519,127881,638,0.5,197739,196271,1468,0.7,2021-08-01
2021,9,112898,112435,463,0.4,181092,180736,356,0.2,2021-09-01
2021,10,114028,112797,1231,1.1,180293,174447,5846,3.2,2021-10-01
2021,11,99557,99324,233,0.2,166687,166105,582,0.3,2021-11-01
2021,12,109541,109177,365,0.3,184314,183249,1065,0.6,2021-12-01
2022,1,112134,111808,326,0.3,193090,192182,908,0.5,2022-01-01
2022,2,108362,108032,330,0.3,193859,193588,271,0.1,2022-02-01
2022,3,129187,128478,709,0.5,201955,199430,2525,1.3,2022-03-01
2022,4,134781,132028,2752,2.0,215888,207231,8657,4.0,2022-04-01
2022,5,135765,135156,609,0.4,205996,204474,1521,0.7,2022-05-01
2022,6,134060,133263,769,0.6,212341,211726,615,0.3,2022-06-01
2022,7,128689,128255,434,0.3,192363,190355,2008,1.0,2022-07-01
2022,8,130855,130390,465,0.4,196611,195226,1385,0.7,2022-08-01
2022,9,127226,126914,312,0.2,200351,199501,850,0.4,2022-09-01
2022,10,114068,113944,124,0.1,187041,186900,141,0.1,2022-10-01
2022,11,112350,112137,213,0.2,188481,187346,1135,0.6,2022-11-01
2022,12,121488,121109,379,0.3,206489,205101,1387,0.7,2022-12-01
2023,1,127054,126302,752,0.6,212559,210725,1834,0.9,2023-01-01
2023,2,118824,118292,533,0.4,211215,209767,1448,0.7,2023-02-01
2023,3,128338,128124,214,0.2,209361,208928,434,0.2,2023-03-01
2023,4,130414,130082,332,0.3,216142,215972,170,0.1,2023-04-01
2023,5,136846,136504,342,0.4,221718,221423,295,0.1,2023-05-01
2023,6,140520,140276,244,0.2,224106,223292,814,0.4,2023-06-01
2023,7,140618,140419,199,0.1,209039,208952,87,0.0,2023-07-01
2023,8,152176,151324,852,0.6,238824,236295,2529,1.1,2023-08-01
2023,9,141827,141299,528,0.4,243271,239931,3340,1.4,2023-09-01
2023,10,139832,139441,391,0.3,222160,221539,621,0.3,2023-10-01
2023,11,119421,119308,113,0.1,204777,204568,209,0.1,2023-11-01
2023,12,123264,123131,133,0.1,213793,213620,173,0.1,2023-12-01
2024,1,134580,133945,635,0.5,223516,222327,1189,0.5,2024-01-01
2024,2,127594,127341,253,0.2,222166,222003,163,0.1,2024-02-01
2024,3,139040,138951,89,0.1,221823,221684,139,0.1,2024-03-01
2024,4,144403,144280,123,0.1,224181,224181,129,0.1,2024-04-01
2024,5,155346,155157,189,0.1,249856,249854,2,0.0,2024-05-01
2024,6,152650,152374,276,0.2,244529,244520,9,0.0,2024-06-01
2024,7,150030,149652,378,0.3,226786,226630,156,0.1,2024-07-01
2024,8,144271,144117,154,0.1,216486,216470,16,0.0,2024-08-01
2024,9,140725,140611,114,0.1,230613,230458,155,0.1,2024-09-01
2024,10,139217,139188,29,0.0,219179,219071,108,0.0,2024-10-01
2024,11,123813,123790,23,0.0,207513,207441,72,0.0,2024-11-01
2024,12,129582,129397,185,0.1,129582,129397,185,0.1,2024-12-01
2025,1,136363,136316,47,0.0,237298,237284,14,0.0,2025-01-01
2025,2,130604,130565,39,0.0,238127,238069,58,0.0,2025-02-01
2025,3,146955,146923,32,0.0,235254,235224,30,0.0,2025-03-01
2025,4,148066,148013,53,0.0,235321,235190,131,0.1,2025-04-01
2025,5,147948,147892,56,0.0,230993,230993,0,0.0,2025-05-01
2025,6,149183,149135,48,0.0,242773,242493,280,0.1,2025-06-01
2025,7,153925,153887,38,0.0,220743,220591,152,0.1,2025-07-01
2025,8,149795,149765,30,0.0,229723,229715,8,0.0,2025-08-01
